id;cue;sector;nombre;nro_escuela
119;2202637;Privado;U.E.G.P Nº 200 - FUNDACION DEPORTIVO SOCIAL CHACO;200
120;2202642;Privado;U.E.G.P Nº 107 (UEP Nº 107) INSTITUTO SUPERIOR EDUCACION Y TRABAJO;107
121;2202651;Privado;U.E.G.P Nº 228 - CASA DE LOS NIÑOS FUNDACION LA LUCILA;228
122;2202654;Estatal;JARDIN DE INFANTES Nº 232;232
123;2202659;Privado;U.E.G.P Nº 114 (JI) - UNIVERSIDAD POPULAR DE RESISTENCIA;114
124;2202661;Privado;U.E.G.P Nº 229;229
125;2202664;Privado;U.E.G.P Nº 218 - FUNDACION SARMIENTO;218
126;2202668;Privado;U.E.G.P Nº 165 (UEP Nº 165) PAULO FREIRE - FUNDACIÓN COMPROMISO CIUDADANO DEL NEA;165
127;2202691;Privado;U.E.G.P Nº 179 (UEP Nº 179) INSTITUTO DE FORMACION INTEGRAL CHACO;
128;2202697;Estatal;P.E. INICIAL - DULCES SONRISAS;
129;2202714;Privado;U.E.G.P Nº 233 -ESCUELA DE FORMACIÓN INTEGRAL SOMOS-;
130;2202719;Privado;U.E.G.P Nº 42 -J.I-(UEP Nº 42) INSTITUTO ADVENTISTA DE RESISTENCIA;
131;2202722;Privado;U.E.G.P Nº 41 (UEP Nº 41) INSTITUTO EDUCATIVO BILINGUE AMICI;
132;2200002;Estatal;E.E.P. Nº   50;50
133;2200017;Estatal;E.E.P. Nº 42 - AMANDA DE GRANDI DE SOLIS;42
134;2200018;Estatal;E.E.P. Nº 168 - GENERAL ENRIQUE MOSCONI;168
135;2200049;Estatal;E.E.P. Nº 4 - IDA YOLANDA VALLEJOS;4
136;2200051;Estatal;E.E.P. Nº 737 - LUCIO NORBERTO MANSILLA;737
137;2200052;Estatal;E.E.P. Nº 698 - MARTIN MIGUEL DE GUEMES;698
138;2200057;Estatal;E.E.P. Nº 834 - INDEPENDENCIA;834
139;2200059;Estatal;E.E.P. Nº  949;949
140;2200062;Privado;U.E.G.P Nº 42 -E.E.P-(UEP Nº 42) INSTITUTO ADVENTISTA DE RESISTENCIA;42
141;2200064;Estatal;E.E.P. Nº 73 - COLONIZADORES FRIULANOS;73
142;2200074;Privado;U.E.G.P Nº 27 (UEP Nº 27) EMILIO LAMARCA;27
143;2200088;Privado;U.E.G.P Nº 41 (UEP Nº 41) INSTITUTO EDUCATIVO BILINGUE AMICI;41
144;2200090;Estatal;E.E.P. Nº 41 - MAESTRO RICARDO A.IVANCOVICH;41
145;2200145;Estatal;E.E.P. Nº 897 - CORONEL FEDERICO DE BRANDSEN;897
146;2200146;Privado;U.E.G.P Nº 18 (UEP Nº 18) NUESTRA SEÑORA DE ITATI;18
147;2200592;Estatal;E.E.P. Nº 700 - MANUEL BELGRANO;700
148;2200593;Estatal;E.E.P. Nº 712 - CORONEL MANUEL DORREGO;712
149;2200595;Privado;U.E.G.P Nº 19 (UEP Nº 19) DON BOSCO;19
150;2200621;Privado;U.E.G.P Nº 10 (UEP Nº 10) INSTITUTO EDUCATIVO PRIVADO Nº 2 SRL;10
151;2200825;Privado;U.E.G.P Nº 16 (UEP Nº 16) JOSE MANUEL ESTRADA;16
152;2200847;Estatal;E.E.P. Nº 2 - RAUL B.DIAZ;2
153;2200886;Estatal;E.E.P. Nº 33 - INDEPENDENCIA;33
154;2200898;Estatal;E.E.P. Nº 315 - ERNESTO DUVIVIER;315
155;2200900;Estatal;E.E.P. Nº 972 - PROVINCIA DEL CHACO;972
156;2200902;Estatal;E.E.P. Nº 804 - LIDIA M.E.DE ESPINOSA;804
157;2200903;Estatal;E.E.P. Nº 117 - MANUEL SANCHIS;117
158;2200904;Estatal;E.E.P. Nº 944 - 1° GOB. CONST. DEL CHACO FELIPE GALLARDO;944
159;2200906;Estatal;E.E.P. Nº 675 - DR.JUAN JOSE CASTELLI;675
160;2200929;Estatal;E.E.P. Nº 779 - GENDARMERIA NACIONAL;779
161;2200933;Estatal;E.E.P. Nº 3 - ANTARTIDA ARGENTINA;3
162;2200939;Estatal;E.E.P. Nº 596 - FRANCISCO N.DE LAPRIDA;596
163;2200942;Estatal;E.E.P. Nº 242 - OCTAVIO S. PICO;242
164;2200945;Estatal;E.E.P. Nº 969 - MAESTRO RODOLFO ALFREDO DINUBILA;969
165;2200947;Estatal;E.E.P. Nº 835 - ARMADA ARGENTINA;835
166;2200948;Estatal;E.E.P. Nº  963;963
167;2200949;Estatal;E.E.P. Nº 169 - ROMULO ZABALA;169
168;2200951;Estatal;E.E.P. Nº 26 - MIGUEL NAVARRO VIOLA;26
169;2200954;Estatal;E.E.P. Nº 5 - RUY DIAZ DE GUZMAN;5
170;2200959;Estatal;E.E.P. Nº 400 - SAN FDO.DEL RIO NEGRO;400
171;2200963;Estatal;E.E.P. Nº 319 - JUAN MANUEL ROSSI;319
172;2200964;Estatal;E.E.P. Nº 108 - INES MANUELA GARCIA DE MARQUES;108
173;2200972;Estatal;E.E.P. Nº 577 - DEL SESQUICENTENARIO;577
